id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
115,0.04,0.1,0.2,10,100,1,100,33.33333333,11.4609,0.10668,10.0,0.050265482,198.9436789,100,0.458436
119,0.08,0.1,0.2,10,100,1,100,33.33333333,2.0242,0.03902,10.0,0.40212386,24.86795986,100,0.161936
193,0.08,0.1,0.2,10,500,1,500,166.66666669999998,1.6805,0.02998,10.0,0.40212386,24.86795986,100,0.13444
297,0.04,0.2,0.1,5,500,1,500,166.66666669999998,1.3512,0.01734,1.25,0.050265482,24.86795986,25,0.054048
113,0.04,0.1,0.1,10,100,1,100,33.33333333,5.9042,0.05652000000000001,5.0,0.050265482,99.47183943,100,0.23616800000000002
308,0.08,0.2,0.5,15,500,1,500,166.66666669999998,4.0147,0.049280000000000004,56.25,0.40212386,139.88227419999998,225,0.321176
191,0.08,0.1,0.1,15,500,1,500,166.66666669999998,1.6867,0.025480000000000003,11.25,0.40212386,27.97645484,225,0.134936
151,0.04,0.1,0.2,5,200,1,200,66.66666667,3.4227,0.05186,2.5,0.050265482,49.73591972,25,0.136908
297,0.04,0.2,0.1,5,500,1,500,166.66666669999998,1.3512,0.01734,1.25,0.050265482,24.86795986,25,0.054048
240,0.04,0.2,0.2,20,500,5,100,33.33333333,7.5003,0.03228,40.0,0.251327412,159.1549431,400,0.300012
50,0.04,0.0,0.1,10,1000,5,200,66.66666667,2.9769,0.02314,5.0,0.251327412,19.89436789,100,0.119076
95,0.08,0.0,0.2,20,2500,5,500,166.66666669999998,2.5839999999999996,0.026660000000000003,40.0,2.010619298,19.89436789,400,0.20672
57,0.04,0.0,0.5,10,1000,5,200,66.66666667,12.0607,0.09504,25.0,0.251327412,99.47183943,100,0.482428
313,0.04,0.2,0.2,15,2500,5,500,166.66666669999998,3.1953,0.016,22.5,0.251327412,89.52465549,225,0.127812
199,0.04,0.1,0.1,15,2500,5,500,166.66666669999998,2.5644,0.013080000000000001,11.25,0.251327412,44.76232774,225,0.102576
208,0.08,0.1,0.5,20,2500,5,500,166.66666669999998,2.7122,0.02244,100.0,2.010619298,49.73591972,400,0.21697600000000003
206,0.08,0.1,0.2,20,2500,5,500,166.66666669999998,1.4713,0.0123,40.0,2.010619298,19.89436789,400,0.117704
315,0.04,0.2,0.5,5,2500,5,500,166.66666669999998,1.3684,0.01684,6.25,0.251327412,24.86795986,25,0.05473600000000001
