,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
139,226,0.04,0.2,0.2,10,4.605170185988092,0.0,100,33.33333333,9.2308,0.08184,10.0,0.050265482,198.9436789,100,0.369232
48,112,0.04,0.1,0.1,5,4.605170185988092,0.0,100,33.33333333,2.166,0.03308,1.25,0.050265482,24.86795986,25,0.08664
195,298,0.04,0.2,0.1,10,6.214608098422191,0.0,500,166.66666669999998,3.44,0.027860000000000003,5.0,0.050265482,99.47183943,100,0.1376
77,149,0.04,0.1,0.1,5,5.298317366548036,0.0,200,66.66666667,1.9135,0.02758,1.25,0.050265482,24.86795986,25,0.07654
57,127,0.04,0.1,0.2,10,6.214608098422191,1.6094379124341003,100,33.33333333,3.0826,0.02336,10.0,0.251327412,39.78873577,100,0.123304
95,171,0.08,0.1,0.5,20,6.907755278982137,1.6094379124341003,200,66.66666667,3.0462,0.02588,100.0,2.010619298,49.73591972,400,0.243696
122,208,0.08,0.1,0.5,20,7.824046010856292,1.6094379124341003,500,166.66666669999998,2.7122,0.02244,100.0,2.010619298,49.73591972,400,0.21697600000000003
144,238,0.04,0.2,0.2,10,6.214608098422191,1.6094379124341003,100,33.33333333,2.3147,0.01734,10.0,0.251327412,39.78873577,100,0.092588
122,208,0.08,0.1,0.5,20,7.824046010856292,1.6094379124341003,500,166.66666669999998,2.7122,0.02244,100.0,2.010619298,49.73591972,400,0.21697600000000003
89,165,0.04,0.1,0.2,15,6.907755278982137,1.6094379124341003,200,66.66666667,5.1134,0.027139999999999997,22.5,0.251327412,89.52465549,225,0.20453600000000002
63,133,0.08,0.1,0.5,15,6.214608098422191,1.6094379124341003,100,33.33333333,2.2807,0.024659999999999998,56.25,2.010619298,27.97645484,225,0.182456
58,128,0.04,0.1,0.2,15,6.214608098422191,1.6094379124341003,100,33.33333333,6.057,0.0333,22.5,0.251327412,89.52465549,225,0.24228000000000002
179,279,0.04,0.2,0.5,10,6.907755278982137,1.6094379124341003,200,66.66666667,4.1826,0.03128,25.0,0.251327412,99.47183943,100,0.167304
