m,v,d,tt,tp,ike,cu,e,lambda,cu_pred
0.5,15,0.04,-4.109255174957855,-2.0102140310561327,4.0298060410845284,3.218875824868201,7.824046010856294,-2.302585092994045,37.35101
0.5,20,0.04,-3.8490482062667577,-1.4991316471832812,4.605170185988092,3.218875824868201,7.824046010856294,-2.302585092994045,3.2473485
0.1,5,0.04,-3.5906644066169813,-2.5699417989845807,0.22314355131420974,0.0,5.298317366548036,-2.302585092994045,3.6204123
0.5,10,0.08,-2.7598699498320065,-1.2565019497822223,3.218875824868201,0.0,5.298317366548036,-2.302585092994045,1.88091
0.1,20,0.04,-3.9867465516240825,-1.7600515217437784,2.9957322735539913,1.6094379124341005,6.907755278982138,-2.302585092994045,2.8177156
0.2,10,0.04,-3.9170355472516905,-2.23765914691521,2.302585092994046,1.6094379124341005,6.907755278982138,-2.302585092994045,6.572869
0.2,20,0.04,-3.39203944387739,-1.1507733278583585,3.688879454113936,1.6094379124341005,6.907755278982138,-2.302585092994045,2.5790448
0.5,5,0.04,-3.6104380278073736,-2.5581485355643667,1.8325814637483104,1.6094379124341005,6.907755278982138,-2.302585092994045,26.298985
0.2,20,0.08,-4.29768548624013,-2.056350210456438,3.688879454113936,1.6094379124341005,6.907755278982138,-2.302585092994045,12.400431
0.2,15,0.04,-4.230851806876764,-2.152545710120815,3.1135153092103742,2.302585092994046,7.600902459542082,-2.302585092994045,10.673116
0.5,15,0.04,-3.4345473613437094,-1.3726755199618994,4.0298060410845284,2.302585092994046,7.600902459542082,-2.302585092994045,3.0350454
0.5,20,0.04,-3.1724694520540453,-0.8612061335706027,4.605170185988092,2.302585092994046,7.600902459542082,-2.302585092994045,2.792715
0.2,15,0.04,-5.014643315493794,-2.80313040735248,3.1135153092103742,3.218875824868201,8.517193191416238,-2.302585092994045,45.23338
0.5,10,0.04,-4.530062713501286,-2.726132708652976,3.218875824868201,3.218875824868201,8.517193191416238,-2.302585092994045,32.32598
