m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred,exp(cu)
0.5,15,0.04,-4.3900588064,-2.2778924804,4.0298060411,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,25.074738,
0.5,10,0.04,-4.6885517949,-2.8481401973,3.2188758249,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,25.58191,
0.2,15,0.04,-5.0146433155,-2.8031304074,3.1135153092,3.2188758249,8.5171931914,-2.302585093,1.9556601021,5.2983173665,24.653,
0.2,20,0.04,-4.1080378894,-1.7506098484,3.6888794541,3.2188758249,8.5171931914,0,1.9556601021,5.2983173665,21.154633,
0.5,15,0.04,-4.4014133485,-2.2657518429,4.0298060411,3.2188758249,9.4334839233,-2.302585093,2.6488072826,6.2146080984,25.074738,
0.2,20,0.04,-4.9476604949,-2.5554664626,3.6888794541,3.2188758249,7.8240460109,-1.6094379124,1.550194994,4.605170186,25.138313,
0.2,15,0.04,-4.8769789093,-2.7118775159,3.1135153092,3.2188758249,7.8240460109,-2.302585093,1.550194994,4.605170186,24.560038,
0.1,20,0.04,-3.9190476204,-1.6883079746,2.9957322736,2.302585093,7.6009024595,0,1.0393693702,5.2983173665,9.818971,
0.2,15,0.04,-4.2947486266,-2.1941253848,3.1135153092,3.2188758249,8.5171931914,0,1.9556601021,5.2983173665,23.79831,
0.2,10,0.04,-3.6953000219,-2.0228646302,2.302585093,2.302585093,6.907755279,0,0.6339042621,4.605170186,9.791336,
0.1,5,0.04,-2.7063516445,-1.8157735121,0.2231435513,0,4.605170186,0,-1.6686808309,4.605170186,1.0006716,
0.5,10,0.04,-2.3534574234,-0.7289235921,3.2188758249,1.6094379124,6.907755279,0,0.3462221896,5.2983173665,5.101005,
0.5,5,0.04,-2.7864442685,-1.7809144892,1.8325814637,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.831813,
0.2,20,0.04,-4.1983726326,-1.8521211256,3.6888794541,3.2188758249,9.4334839233,0,2.6488072826,6.2146080984,22.763689,
0.5,10,0.04,-2.3534574234,-0.7289235921,3.2188758249,1.6094379124,6.907755279,0,0.3462221896,5.2983173665,5.101005,
0.1,5,0.04,-2.827171632,-1.9139542222,0.2231435513,0,5.2983173665,0,-1.2632157228,5.2983173665,0.97920316,
0.1,10,0.04,-3.6581562815,-2.0406516906,1.6094379124,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.823481,
0.2,10,0.04,-3.0778103846,-1.4659438128,2.302585093,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.822473,
0.1,15,0.04,-4.190415031,-2.1551310715,2.4203681287,1.6094379124,6.907755279,-2.302585093,0.3462221896,5.2983173665,5.027166,
0.5,20,0.08,-3.6542848093,-1.4118337321,4.605170186,1.6094379124,6.907755279,-2.302585093,1.0393693702,5.2983173665,4.989139,
0.5,20,0.08,-4.3852317656,-2.0055667396,4.605170186,2.302585093,8.5171931914,-2.302585093,2.4256637313,6.2146080984,10.090431,
0.1,20,0.04,-3.9867465516,-1.7600515217,2.9957322736,1.6094379124,6.907755279,-2.302585093,0.3462221896,5.2983173665,5.062515,
0.1,20,0.04,-3.8022721415,-1.6183373956,2.9957322736,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.270578,
0.1,15,0.08,-3.6698614483,-2.002954687,2.4203681287,0,6.2146080984,-2.302585093,0.1230786383,6.2146080984,1.0042206,
0.1,15,0.04,-4.190415031,-2.1551310715,2.4203681287,1.6094379124,6.907755279,-2.302585093,0.3462221896,5.2983173665,5.027166,
0.1,15,0.04,-4.0229545661,-2.0286267618,2.4203681287,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.508975,
0.5,10,0.08,-2.7598699498,-1.2565019498,3.2188758249,0,5.2983173665,-2.302585093,-0.5700685422,5.2983173665,0.99323493,
0.5,10,0.04,-4.5300627135,-2.7261327087,3.2188758249,3.2188758249,8.5171931914,-2.302585093,1.9556601021,5.2983173665,24.489952,
0.2,20,0.08,-4.1957130566,-1.9920462384,3.6888794541,1.6094379124,6.2146080984,-2.302585093,0.6339042621,4.605170186,4.8669057,
0.1,10,0.04,-3.1359143042,-1.6566343473,1.6094379124,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.983255,
0.1,5,0.04,-3.7550192566,-2.7298664544,0.2231435513,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.9788683,
0.2,10,0.04,-4.8848840888,-3.023884865,2.302585093,2.302585093,8.5171931914,-1.6094379124,1.7325165508,6.2146080984,10.265608,
0.2,10,0.04,-2.9973335549,-1.3994039171,2.302585093,0,6.2146080984,-1.6094379124,-0.5700685422,6.2146080984,1.0749838,
0.1,15,0.04,-5.1328029281,-2.9073551629,2.4203681287,2.302585093,7.6009024595,-1.6094379124,1.0393693702,5.2983173665,10.1261425,
0.2,10,0.04,-4.0547393076,-2.3795957354,2.302585093,1.6094379124,6.2146080984,-1.6094379124,-0.0592429185,4.605170186,5.5579457,
0.1,5,0.04,-3.9633162998,-2.8405078846,0.2231435513,0,5.2983173665,-1.6094379124,-1.2632157228,5.2983173665,1.0027553,
0.2,20,0.08,-4.5208290376,-2.1972885794,3.6888794541,1.6094379124,6.2146080984,-1.6094379124,0.6339042621,4.605170186,5.19635,
0.1,15,0.08,-4.0074331902,-2.2186852184,2.4203681287,0,6.2146080984,-1.6094379124,0.1230786383,6.2146080984,1.1168697,
0.5,20,0.08,-4.7172196898,-2.2409257126,4.605170186,2.302585093,8.5171931914,-1.6094379124,2.4256637313,6.2146080984,10.123921,
0.5,20,0.08,-3.7801179345,-1.5513199591,4.605170186,1.6094379124,6.2146080984,-1.6094379124,0.6339042621,4.605170186,5.213299,
0.2,5,0.04,-2.7725887222,-1.8292619793,0.9162907319,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,1.020335,
0.2,10,0.04,-2.5029891573,-0.9963301062,2.302585093,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.9777557,
0.2,10,0.04,-2.5029891573,-0.9963301062,2.302585093,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.9777557,
0.5,5,0.04,-1.7610750871,-0.8173779583,1.8325814637,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,1.014822,
0.1,10,0.04,-3.1359143042,-1.6566343473,1.6094379124,0,4.605170186,-1.6094379124,-1.6686808309,4.605170186,0.983255,
0.2,10,0.04,-2.2379215797,-0.7799345826,2.302585093,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,0.97836864,
0.2,10,0.04,-2.2379215797,-0.7799345826,2.302585093,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,0.97836864,
0.1,5,0.04,-3.4088264088,-2.4459936763,0.2231435513,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,1.0036016,
0.1,5,0.04,-2.7063516445,-1.8157735121,0.2231435513,0,4.605170186,0,-1.6686808309,4.605170186,1.0006716,
0.1,5,0.04,-2.7063516445,-1.8157735121,0.2231435513,0,4.605170186,0,-1.6686808309,4.605170186,1.0006716,
0.5,5,0.04,-1.7610750871,-0.8173779583,1.8325814637,0,4.605170186,-2.302585093,-1.6686808309,4.605170186,1.014822,
0.5,10,0.04,-2.9044301151,-1.2594432319,3.2188758249,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.151335,
0.1,10,0.04,-3.6581562815,-2.0406516906,1.6094379124,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.823481,
0.5,5,0.04,-3.7722610631,-2.6925509377,1.8325814637,1.6094379124,6.2146080984,-1.6094379124,-0.0592429185,4.605170186,4.89265,
0.5,5,0.04,-2.7864442685,-1.7809144892,1.8325814637,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.831813,
0.5,10,0.04,-2.9044301151,-1.2594432319,3.2188758249,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.151335,
0.5,10,0.04,-2.9044301151,-1.2594432319,3.2188758249,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.151335,
0.5,5,0.04,-2.7864442685,-1.7809144892,1.8325814637,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.831813,
0.2,15,0.04,-3.402197882,-1.4176611969,3.1135153092,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.4116354,
0.2,20,0.04,-3.1864086347,-0.9921679605,3.6888794541,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.053755,
0.1,10,0.04,-3.6581562815,-2.0406516906,1.6094379124,1.6094379124,6.2146080984,0,-0.0592429185,4.605170186,4.823481,
0.5,5,0.04,-3.48675527,-2.4422150441,1.8325814637,1.6094379124,6.2146080984,-2.302585093,-0.0592429185,4.605170186,5.1378703,
0.5,10,0.04,-3.5979424591,-1.9139542222,3.2188758249,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,10.096625,
0.2,10,0.04,-4.3772381179,-2.6418131233,2.302585093,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,9.609787,
0.1,20,0.04,-4.4112494934,-2.116470738,2.9957322736,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,10.007516,
0.2,10,0.04,-4.3772381179,-2.6418131233,2.302585093,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,9.609787,
0.5,20,0.08,-3.7801179345,-1.5513199591,4.605170186,1.6094379124,6.2146080984,-1.6094379124,0.6339042621,4.605170186,5.213299,
0.2,15,0.04,-4.0524351591,-2.0002016177,3.1135153092,2.302585093,6.907755279,-2.302585093,0.6339042621,4.605170186,9.760619,
0.5,15,0.04,-3.5206568217,-1.4647489971,4.0298060411,2.302585093,6.907755279,-1.6094379124,0.6339042621,4.605170186,10.248447,
